Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Name,Email,Gender
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Ashley Huff,ashley.huff@yahoo.com,Female
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,Lauren Austin,lauren.austin@outlook.com,Female
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Henry Smith,henry.smith@outlook.com,Male
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Robert Brandt,robert.brandt@gmail.com,Male
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Diana Jimenez,diana.jimenez@gmail.com,Female
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Heidi Fowler,heidi.fowler@protonmail.com,Female
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,James Morgan,james.morgan@yahoo.com,Male
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,Maureen Warren,maureen.warren@outlook.com,Female
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,Trevor Hernandez,trevor.hernandez@gmail.com,Male
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,Steven Russell,steven.russell@protonmail.com,Male
